t, voltage, pos, vel, accel, homing
0.000000, -0.005000, 0.400000, -0.001617, -0.161652, 0 
0.010000, -0.005000, 0.400000, -0.003232, -0.161559, 0 
0.020000, -0.005000, 0.399984, -0.004847, -0.161466, 0 
0.030000, -0.005000, 0.399952, -0.006460, -0.161373, 0 
0.040000, -0.005000, 0.399903, -0.008073, -0.161280, 0 
0.050000, -0.005000, 0.399838, -0.009685, -0.161187, 0 
0.060000, -0.005000, 0.399758, -0.011296, -0.161094, 0 
0.070000, -0.005000, 0.399661, -0.012906, -0.161001, 0 
0.080000, -0.005000, 0.399548, -0.014515, -0.160908, 0 
0.090000, -0.005000, 0.399419, -0.016123, -0.160815, 0 
0.100000, -0.005000, 0.399274, -0.017731, -0.160723, 0 
0.110000, -0.005000, 0.399112, -0.019337, -0.160630, 0 
0.120000, -0.005000, 0.398935, -0.020942, -0.160538, 0 
0.130000, -0.005000, 0.398742, -0.022547, -0.160445, 0 
0.140000, -0.005000, 0.398532, -0.024150, -0.160353, 0 
0.150000, -0.005000, 0.398307, -0.025753, -0.160260, 0 
0.160000, -0.005000, 0.398065, -0.027355, -0.160168, 0 
0.170000, -0.005000, 0.397808, -0.028955, -0.160076, 0 
0.180000, -0.005000, 0.397534, -0.030555, -0.159984, 0 
0.190000, -0.005000, 0.397245, -0.032154, -0.159891, 0 
0.200000, -0.005000, 0.396939, -0.033752, -0.159799, 0 
0.210000, -0.005000, 0.396618, -0.035349, -0.159707, 0 
0.220000, -0.005000, 0.396280, -0.036945, -0.159615, 0 
0.230000, -0.005000, 0.395927, -0.038540, -0.159523, 0 
0.240000, -0.005000, 0.395557, -0.040135, -0.159431, 0 
0.250000, -0.005000, 0.395172, -0.041728, -0.159339, 0 
0.260000, -0.005000, 0.394770, -0.043321, -0.159248, 0 
0.270000, -0.005000, 0.394353, -0.044912, -0.159156, 0 
0.280000, -0.005000, 0.393920, -0.046503, -0.159064, 0 
0.290000, -0.005000, 0.393471, -0.048093, -0.158973, 0 
0.300000, -0.005000, 0.393006, -0.049681, -0.158881, 0 
0.310000, -0.005000, 0.392525, -0.051269, -0.158789, 0 
0.320000, -0.005000, 0.392028, -0.052856, -0.158698, 0 
0.330000, -0.005000, 0.391515, -0.054442, -0.158606, 0 
0.340000, -0.005000, 0.390987, -0.056027, -0.158515, 0 
